Key,Value,Version,Comment
nebula.opt.tip,"Statischer Nebel ist ein Schnappschuss des Echtzeitnebels; nur der Parallaxeneffekt fehlt. Echtzeitnebel ist sehr aufwendig für die GPU und wird nicht empfohlen, es sei denn, du hast ein leistungsstarkes RTX-fähiges System.",,
need.Aesthetics,Ästhetik,,
need.Aesthetics.info,"Ein Bedürfnis nach einer sauberen und gut aussehenden Umgebung.",,
need.Electricity,Elektrizität,,
need.Electricity.info,"Elektrizität ist normalerweise die Hauptenergiequelle für alle künstlichen Lebensformen, einschließlich deiner Arbeitsroboter und Drohnen. Wenn der Bedarf auf 0 sinkt, wird der Arbeiter in einen langsamen Notlademodus übergehen, während dessen er sich nicht bewegen und keine Aufgaben ausführen kann, bis die eingebauten Solarzellen den Ladestand wieder auf 10 % gebracht haben. Baue genügend Ladestationen, um eine Verlangsamung der Arbeiter und eine vorübergehende Abschaltung aufgrund der Notaufladung zu verhindern.",,
need.Fun,Spaß,,
need.Fun.info,"Unterhaltung ist wichtig, um gute Laune zu behalten.",,
need.Hunger,Hunger,,
need.Hunger.info,"Wenn ein Wesen hungrig ist, wird es nach Nahrung suchen.",,
need.Maintenance,Wartung,,
need.Maintenance.info,"Roboter und Drohnen benötigen regelmäßige Wartung für einen reibungslosen Betrieb. Baue eine Reparaturstation, um das Wartungsbedürfnis zu erfüllen.",,
need.None,"Keine (Bedürfnisse)",,
need.Oxygen,Sauerstoff,,
need.Oxygen.info,"Dieses Wesen benötigt zum Überleben einen ausreichenden Sauerstoffgehalt.",,
need.Purpose,Sinn,,
need.Purpose.info,"Die Menschen neigen dazu, mehr zu arbeiten, wenn sie das Gefühl haben, dass ihre Arbeit einen Sinn hat. Wenn das Bedürfnis nach Sinn eines Arbeiters erfüllt ist, hat er höchstwahrscheinlich lange Zeit hart gearbeitet, und er wird dazu neigen, Aufgaben mit weniger Enthusiasmus zu erledigen.",,
need.Reproduction,Fortpflanzung,,
need.Rest,Erholung,,
need.Rest.info,"Biologische Wesen werden müde, wenn sie arbeiten. Sie müssen sich eine Auszeit gönnen, um sich auszuruhen, bevor sie an etwas anderem arbeiten.",,
need.Safety,Sicherheit,,
need.Sanity,"geistige Gesundheit",,"[Weidengeist: Check context and adjust if necessary.]"
need.Shower,Dusche,,
need.Shower.info,"Wenn ein Wesen schmutzig wird, dann möchte es eine Dusche nehmen.",,
need.Sleep,Schlaf,,
need.Sleep.info,"Alle biologischen Wesen brauchen Schlaf, um sich zu erholen. Baue ihnen ein paar Betten.",,
need.Social,"Soziale Kontakte",,
need.Stress,Stress,,
need.Stress.info,"Halte den Stress in Schach, sonst werden deine Kolonisten in Panik geraten oder verrückte Dinge tun!",,
need.Toilet,Toilette,,
need.Toilet.info,"Wenn der Toilettenbedürfniswert gering ist, wird dieses Wesen eine Toilette aufsuchen wollen.",,"[Weidengeist: Resolved a logical contradiction (need is low, but urge rises?).]"
needs,Bedürfnisse,,"Noun. Displayed on a button that will show the list of being’s needs (i.e Hunger, Sleep, etc)"
needs.reload,"Muss nachgeladen werden",,"[Weidengeist: Check context. Fluid cannons? Weapons?]"
net.worth,Eigenkapital,,"[Weidengeist: Check context.]"
new.update,"Neues Update!",,
new.update.note,"Zuletzt gespielt: <b>{0} ({1})</b><br>Aktualisiert auf: <b>{2} ({3})</b><br><br>Es gibt <b><color={4}>{5} neue Änderungen</color></b>.",2022-08-16,"Removed commas at the end of version numbers"
next,Weiter,,
next.wake.up,"Nächstes Aufwachen",,
nickname,Spitzname,,
no,Nein,,
no.access.to.starmap,"Wir müssen mit der Brückensteuerung verbunden sein, um Zugang zur Sternenkarte zu haben. Erforsche <b>Schiffssteuerung</b>, um den Bauplan für die Brückensteuerung zu erhalten.",2022-08-01,
no.active.combat,"Keine aktiven Kämpfe",,
no.available.teleporter,"Kein verfügbarer Teleporter",,
no.blueprints,"Keine Blaupausen",,
no.blueprints.help,"Druckoptionen werden verfügbar, sobald Blaupausen, die mit diesem Gerät kompatibel sind, durch Forschung freigeschaltet wurden.",,
no.chair.in.work.spot,"Kein Stuhl im Arbeitsbereich",,
no.coffee,"Kein Kaffee",,
no.compute.shaders,"Keine Shaderberechnung",,
no.compute.shaders.info,"Das Spiel kann nicht gestartet werden, da deine Graphikkarte keine <b>Shaderberechnung</b> unterstützt.<br><br>Wenn dein System mehrere Graphikkarten besitzt, stelle sicher, dass die richtige benutzt wird. Derzeit benutzte Graphikkarte: <b>{0}</b>.",2022-07-04,
no.data,"Keine Daten",,
no.destination,"Kein Ziel",,
no.energy.source,"Keine Energiequelle",,
no.force.fields,"Kraftfelder nicht verfügbar",,
no.fuel,"Kein Treibstoff",,
no.internet,"Keine Internetverbindung",,
no.internet.info,"Das Spiel hat keine Antwort von <b>stardeusgame.com</b> erhalten. Prüfe, ob eine Internetverbindung besteht und das Spiel nicht von einer Firewall oder einem Antivirusprogramm blockiert wird.<br><br>Die <b>Einen-Fehler-melden-</b>-Funktion ist nicht verfügbar. Bitte nutze den <b>Stardeus</b>-Discord, um dein Anliegen zu melden.",2022-08-11,
no.items.available,"Keine verarbeitbaren Gegenstände",,
no.known.mats,"Keine Informationen",,
no.known.mats.info,"Wir haben keine Kenntnisse über die Materialien, die auf diesem Weltraumobjekt vorhanden sind. Baue ein Radar und verwende die Aktion <b>Scannen</b> auf dem Weltraumobjekt, um Informationen über Materialvorkommen zu erhalten.",,
no.materials.available,"Keine verfügbaren Materialien",,
no.multiverse.tech,"Wir haben noch nicht die notwendige Technologie, um etwas jenseits der Universumsebene auf der Sternenkarte anzuzeigen.",,
no.plants.available,"Keine Pflanzen verfügbar",,
no.projectile,"Keine Projektile",,
no.research,"Keine Forschung",,
no.saves,"Keine Spielstände",,
no.saves.available,"Keine gespeicherten Spielstände verfügbar",,
no.saves.desc,"Dieses Spiel wurde noch nicht gespeichert. Wenn du ein anderes Spiel laden willst, gehe zuerst ins Hauptmenü.",,
no.shower,"Keine Dusche",,
no.shuttles,"Keine Schiffe",,
no.shuttles.desc,"Du musst mindestens ein Schiff bauen, um eine Expedition entsenden zu können.",,
no.socialize.partner,"Niemand, mit dem man sich unterhalten kann",,
no.target,"Kein Ziel",,
no.task,"Keine Aufgabe",,
no.task.reason.could.not.fly,"Überspringe <b>{0}</b> Aufgaben im offenen Weltraum, weil dieser <b>Arbeiter nicht fliegen kann</b>.",,"{0} will be count of tasks, a number (1 or bigger)"
no.task.reason.job.priority0,"<b>{0}</b> Aufgaben übersprungen, weil der Arbeiter <b>keine Priorität für diesen Aufgabentype</b> hat.",,"Displayed when showing a reason why the selected worker will not do some tasks. {0} will be count of tasks (a number)."
no.task.reason.last.eval,"Der Arbeiter hat alle Aufgaben vor <b>{0}</b> (Spielzeit) ausgewertet.",,
no.task.reason.no.skill,"<b>Nicht genug Fertigkeiten</b> für <b>{0}</b>aufgaben.",,
no.task.reason.reluctant,"<b>{0}</b> Aufgaben wurden übersprungen, weil der <b>Arbeiter diese Aufgabe nicht erledigen wollte</b> (zu weit weg, ist vor Kurzem fehlgeschlagen usw.)",,
no.task.reason.total,"Es gibt <b>{0}</b> ausstehende Aufgaben.",,
no.task.reason.unreachable.loc,"<b>Kann den Arbeitsplatz für <b>{0}</b>aufgaben nicht erreichen</b> (kein Weg, keine oder verschlossene/stromlose Türen?).",,
no.task.reason.unreachable.loc.mem,"Habe <b>{0}</b> Aufgaben übersprungen, weil ich kürzlich <b>nicht zum Arbeitsplatz</b> oder zu einem Material gelangen konnte (werde es bald wieder versuchen).",,"[Weidengeist: Needs check. Does {0} equal a number or a job type?]"
no.task.reason.unreachable.mats.flying,"War <b>nicht in der Lage, alle benötigten Materialien</b> für <b>{0}</b> Aufgaben zu erreichen. Die Materialien sind vorhanden, aber möglicherweise hinter einer verschlossenen oder nicht mit Strom versorgten Tür.",,"[Weidengeist: Needs check. Does {0} equal a number or a job type?]"
no.task.reason.unreachable.mats.grounded,"War <b>unmöglich, alle benötigten Materialien</b> für <b>{0}</b> Aufgaben zu erreichen. Materialien sind vorhanden, aber wahrscheinlich unerreichbar, weil <b>dieser Arbeiter nicht fliegen kann</b> oder hinter einer verschlossenen oder nicht mit Strom versorgten Tür.",,"[Weidengeist: Needs check. Does {0} equal a number or a job type?]"
no.task.reason.unsafe,"<b>{0}</b> Aufgaben übersprungen, weil der Arbeitsplatz oder die für die Aufgabe benötigten Materialien an einem <b>unsicheren Ort</b> waren (kein Sauerstoff, zu kalt, zu heiß?).",,"{0} is a number of skipped tasks."
no.task.reason.workable,"<b>{0}</b> Aufgaben können durch dieses Wesen <b>bearbeitet</b> werden.",,"{0} is a number of skipped tasks."
no.tasks.rason.clock.stopped,"Hinweis: <b>Die Zeit ist im Moment pausiert</b>; Aufgaben werden nur ausgewertet, wenn die Zeit läuft.",,"[Weidengeist: Key typo?]"
no.terraform.controls,"Diese Funktion erfordert eine Verbindung zu einem Terraformierungssteuergerät. Erforsche <b>Terraformierung</b>, um die Blaupause für das Terraformierungssteuergerät zu erhalten.",,
no.terraform.target,"Kein Terraformierungsziel",,
no.terraform.target.help,"Gelange in die Nähe eines terraformierbaren Planeten und beginne den Terraformierungsprozess. Du kannst terraformierbare Planeten auf der Sternenkarte finden, indem du nach einer bestimmten Markierung neben Galaxie-, System- und Planetennamen Ausschau hältst.",,
no.terraformable,"Keine terraformierbaren Planeten",,
no.terraformable.help,"Du hast noch keine terraformierbaren Planeten entdeckt. Baue ein <b>Teleskop</b> und benutze es, um das beobachtbare Universum nach potentiell terraformierbaren Himmelskörpern abzusuchen..",,
no.toilet,"Keine Toilette",,
no.upgrade,"Kein Verbesserungsmodul",,
no.winch.anchor,"Windenanker nicht verfügbar",,
noisy.crowd,"Lärmende Meute",,
non.controllable.worker,"Nicht kontrollierter Arbeiter",,
not.achieved.yet,"Noch nicht erreicht",,
not.available,"Nicht verfügbar",,
not.configured,"Nicht konfiguriert",,
not.customizable.in.demo,"In der Demo nicht anpassbar",,
not.customizable.in.demo.storygen,"In der Demo bekommst du nur eine zufallsgenerierte Geschichte, die absolut nicht ausbalanciert ist und dich mit völlig zufälligen Ereignissen bewirft.",,
not.docked,"Nicht angedockt",,
not.enclosed,"Bereich nicht abschlossen",,
not.enough.ram,"Nicht genug Arbeitsspeicher",,
not.enough.ram.info,"Erforderlicher Arbeitsspeicher: {0} EB, Verfügbar: {1} EB. Überprüfe das Stromnetz oder baue weitere Speichermodule (durch Forschung Datenverarbeitung freigeschaltet).",,
not.enough.storage,"Nicht genügend Festplattenspeicher",,
not.enough.storage.info,"Erforderlicher Festplattenspeicher: {0} ZB, verfügbar: {1}/{2} ZB. Erstelle weitere Festplattenmodule (durch Forschung Datenverarbeitung freigeschaltet).<br><br>Du kannst auch Speicherplatz wiederherstellen, indem du das Menü <b><nobr>Gespeicherte Forschungen</nobr></b> auf der linken Seite öffnest und <b>Aus Speicher entfernen</b> auf einem Forschungsgerät anklickst.",,
not.growing,"Wächst nicht",,
not.in.demo,"In der Demo nicht verfügbar",,
not.linked,"Nicht verbunden",,
not.mining.currency,"Währung wird nicht geschürft",,
not.petted.before,"Noch nie von jemandem gestreichelt worden",,
not.powered,"Nicht mit Strom versorgt",,
not.processing,"Wird nicht verarbeitet. Kapazität der Warteschlange: {0}",,
not.ready,"Nicht einsatzbereit",,"This refers to device that needs some preparation before it can be used"
nothing.researched,"Keine bekannten Technologien",,
nothing.to.clean,"Nichts zu reinigen",,
nothing.to.clean.info,"Es gibt derzeit keinen Schmutz, der von diesem Reinigungsbot erreicht werden kann.",,
notify.on.discharge,"Bei Entladung benachrichtigen",,
now.playing,"Gerade läuft: {0}",,"This is about music, {0} will be the song name"
now.processing,"Verarbeite {0} [{1}/{2}]",,
nowhere.to.sleep,"Kein Schlafplatz",,
obj.asteroids.asteroid01,Asteroid,,
obj.asteroids.asteroid01.desc,"Ja, es ist so schlimm, wie es aussieht. Drücke die Daumen und hoffe, dass er nichts trifft.",2022-03-19,
obj.asteroids.asteroid02,Asteroid,,
obj.asteroids.asteroid02.desc,"Ja, es ist so schlimm, wie es aussieht. Drücke die Daumen und hoffe, dass er nichts trifft.",2022-03-20,
obj.asteroids.asteroid03,Asteroid,,
obj.asteroids.asteroid03.desc,"Ja, es ist so schlimm, wie es aussieht. Drücke die Daumen und hoffe, dass er nichts trifft.",2022-03-21,
obj.asteroids.asteroidmega01,Riesenasteroid,,
obj.asteroids.asteroidmega01.desc,"Ein außergewöhnlich großer Asteroid. Fahr lieber so schnell wie möglich die Quantenbarrieren hoch!",,
obj.asteroids.asteroidmega02,Riesenasteroid,,
obj.asteroids.asteroidmega02.desc,"Ein außergewöhnlich großer Asteroid. Fahr lieber so schnell wie möglich die Quantenbarrieren hoch!",,
obj.asteroids.asteroidmega03,Riesenasteroid,,
obj.asteroids.asteroidmega03.desc,"Ein außergewöhnlich großer Asteroid. Fahr lieber so schnell wie möglich die Quantenbarrieren hoch!",,
obj.asteroids.meteor01,Meteor,,
obj.asteroids.meteor01.desc,"Nicht so schlimm wie ein Asteroid, aber ein Schauer davon kann ernsthaften Schaden anrichten.",,
obj.containers.breachcapsuleflying,Enterkapsel,,
obj.containers.breachcapsuleflying.desc,"Die sieht nicht sehr freundlich aus!",,
obj.containers.probeflying,Sonde,,
obj.containers.probeflying.desc,"Eine gestartete Sonde, die unterwegs ist, um ein entferntes Objekt zu scannen.",,
obj.containers.stasispodflying,Stasiskapsel,,
obj.containers.stasispodflying.desc,"Die Stasiskapsel kann Wesen im Kryoschlaf enthalten und über weite Strecken durch den Weltraum reisen.",,
obj.containers.storagecapsule,Aufbewahrungskapsel,,
obj.containers.storagecapsule.desc,"Ein Geschenk von oben. Oder doch nicht?",,
obj.eggs.egg01,"Nicht identifiziertes Objekt",,
obj.eggs.egg01.desc,"Sieht aus wie ein übergroßes Ei. Herkunft unbekannt.",,
obj.equipment.clothing.clothing01,"Kleidung 01",,
obj.equipment.clothing.clothing01.desc,"Ein Kleidungsstück. Nichts Besonderes, aber besser, als nackt herumzulaufen.",,
obj.equipment.clothing.fclothing01,"Kleidung (w)",,
obj.equipment.clothing.fclothing01.desc,"Ein normales Kleidungsstück, das zu einem weiblichen Körperbau passt.",,
obj.equipment.clothing.fspacesuit01,"Raumanzug (w)",,
obj.equipment.clothing.fspacesuit01.desc,"Ein Raumanzug, der es Menschen erlaubt, den offenen Weltraum zu betreten. Benötigt einen kompatiblen Helm, um voll funktionsfähig zu sein. Menschen benötigen für bestimmte Handlungen, bspw. Nahrungsaufnahme, dennoch weiterhin lebensfreundliche Bereiche.",2022-08-12,
obj.equipment.clothing.mclothing01,"Kleidung (m)",,
obj.equipment.clothing.mclothing01.desc,"Ein normales Kleidungsstück, das zu einem männlichen Körperbau passt.",,
obj.equipment.clothing.mspacesuit01,"Raumanzug (m)",,
obj.equipment.clothing.mspacesuit01.desc,"Ein Raumanzug, der es Menschen erlaubt, den offenen Weltraum zu betreten. Benötigt einen kompatiblen Helm, um voll funktionsfähig zu sein. Menschen benötigen für bestimmte Handlungen, bspw. Nahrungsaufnahme, dennoch weiterhin lebensfreundliche Bereiche.",2022-08-12,
obj.equipment.hats.ncrawler01,Krabbler,,
obj.equipment.hats.ncrawler01.desc,"Dies ist <i>kein</i> Hut, den du jemals aufsetzen möchtest!",,
obj.equipment.hats.nhat01,Hut,,
obj.equipment.hats.nhat01.desc,"Ein schick aussehender Hut.",,
obj.equipment.hats.nspacehelmet01,Weltraumhelm,,
obj.equipment.hats.nspacehelmet01.desc,"Ermöglicht es Menschen, für eine begrenzte Zeit in den offenen Weltraum zu gehen. Benötigt einen angelegten Raumanzug, um zu funktionieren.",,
obj.equipment.weapons.energyrifle01,Energiegewehr,,
obj.equipment.weapons.energyrifle01.desc,"Eine weltraumtaugliche, leichte Standardenergiewaffe.",,
obj.materials.atmospheremix,Atmosphärenmischung,,
obj.materials.atmospheremix.desc,"Ein Material zum Terraformieren von Planetenatmosphären.",,
obj.materials.batterycell,Batteriezelle,,
obj.materials.batterycell.desc,"Gängige Lithiumbatteriezelle, die in elektrischen Geräten verwendet wird.",,
obj.materials.bioenrichedwater,"Biolog. angereich. Wasser",,"[Weidengeist: Full term overlays the price in the merchants’ trade dialogs, so it’s been abbreviated.]"
obj.materials.bioenrichedwater.desc,"Ein Material zum Terraformieren von Ozeanen.",2022-09-23,
obj.materials.biowaste,Bioabfall,,
obj.materials.biowaste.desc,"Fieses Zeug, das mit dem Wiederaufbereiter in sauberes Wasser und wertvolle Biomasse umgewandelt werden kann.",,
obj.materials.carbon,Kohlenstoff,,
obj.materials.carbon.desc,"Ein Rohstoff, der abgebaut oder durch Verbrennung hergestellt werden kann. Kann sich als Rückstand in einigen Reaktoren ansammeln.",,
obj.materials.carbonfiber,Kohlenstofffaser,,
obj.materials.carbonfiber.desc,"Ein sehr haltbares und leichtes, vielseitiges Material.",,
obj.materials.coal,Kohle,,
obj.materials.coal.desc,"Ein fossiler Brennstoff, der zu Kohlenstoff verarbeitet oder als Treibstoff verbrannt werden kann.",,
obj.materials.coffee,Kaffee,,
obj.materials.coffee.desc,"Ein warmes, energiespendendes Getränk. Für manche ist es wichtiger als Wasser.",,
obj.materials.coffeebeans,Kaffeebohnen,,
obj.materials.coffeebeans.desc,"Können zu Kaffee aufgebrüht werden.",,
obj.materials.copper,Kupfer,,
obj.materials.copper.desc,"Ein weiches Metall, etwas schwerer als Eisen. Wird zur Herstellung von Kabeln und Elektronik verwendet.",,
