Key,Translation,Version,Comment (context for translators)
obj.materials.biowaste.desc,"Nieprzyjemne rzeczy, które można przefiltrować na czystą wodę i cenną biomasę za pomocą Recyklera.",,
obj.materials.carbon,Węgiel Chemiczny,,
obj.materials.carbon.desc,"Surowiec, który można wydobyć lub wyprodukować poprzez spalenie czegoś. Może gromadzić się jako osad w niektórych reaktorach.",,
obj.materials.carbonfiber,Włókno Węglowe,,
obj.materials.carbonfiber.desc,Bardzo trwały i lekki materiał o wszechstronnym zastosowaniu.,,
obj.materials.coal,Węgiel Kamienny,,
obj.materials.coal.desc,"Skamieliny, które można przetworzyć na Węgiel Chemiczny lub spalić jako paliwo.",,
obj.materials.coffee,Kawa,,
obj.materials.coffee.desc,"Ciepły, energetyzujący napój. Dla niektórych jest on ważniejszy niż woda.",,
obj.materials.coffeebeans,Ziarenka Kawy,,
obj.materials.coffeebeans.desc,Można uwarzyć nimi kawę,,
obj.materials.copper,Miedź,,
obj.materials.copper.desc,"Miękki metal, nieco cięższy od żelaza. Stosowany do produkcji okablowania i elektroniki.",,
obj.materials.copperplate,Miedziana Blacha,,
obj.materials.copperplate.desc,"Miękki stop miedzi, używany głównie do produkcji różnych urządzeń elektronicznych.",,
obj.materials.copperwire,Drut Miedziany,,
obj.materials.copperwire.desc,Zwykły przewód elektryczny.,,
obj.materials.crudeoil,Ropa Naftowa,,
obj.materials.crudeoil.desc,"Surowa, nieprzetworzona Ropa",,
obj.materials.flour,Mąka,,
obj.materials.flour.desc,Dobre w pieczeniu chleba,,
obj.materials.gears,Koła Zębate,,
obj.materials.gears.desc,Różne koła zębate do ruszających się części,,
obj.materials.glass,Szkło,,
obj.materials.glass.desc,Cenny surowiec niezbędny do produkcji niektórych sprzętów. Również do okien i podłóg z niesamowitym widokiem!,,
obj.materials.grain,Ziarno,,
obj.materials.grain.desc,Można zmielić na Mąkę,,
obj.materials.iron,Żelazo,,
obj.materials.iron.desc,Ruda żeleza jest często przemieniana w Żelazne Blachy.,,
obj.materials.lithium,Lit,,
obj.materials.lithium.desc,Niezbędny składnik w bateriach.,,
obj.materials.log,Kłoda,,
obj.materials.log.desc,"Użyj jej jako paliwo lub przetwórz na Drewno, które można wykorzystać do budowy mebli.",,
obj.materials.microchip,Mikroczip,,
obj.materials.microchip.desc,Niezbędny komponent dla robotników napędzanych sztuczną inteligencją i zaawansowanego sprzętu elektronicznego.,,
obj.materials.multifertilizer,Nawóz Wieloskładnikowy,,
obj.materials.multifertilizer.desc,Materiał używany do terraformowacji biosfery planety.,,
obj.materials.opticalfiber,Światłowód,,
obj.materials.opticalfiber.desc,"Kanał do transmisji danych z prędkością światła, często stosowany w robotyce i produkcji zaawansowanych urządzeń elektrycznych.",,
obj.materials.organicturf,Organiczna Murawa,,
obj.materials.organicturf.desc,Materiał używany do terraformowacji terenu planety.,,
obj.materials.petroleum,Nafta,,
obj.materials.petroleum.desc,"Produkt ropy naftowej, używany do produkcji innych surowców, takich jak guma czy plastik.",,
obj.materials.plantfiber,Włókno Roślinne,,
obj.materials.plantfiber.desc,Substancja odżywcza wytłaczana z większości roślin. Przydatna m.in. do produkcji artykułów spożywczych.,,
obj.materials.plastic,Plastik,,
obj.materials.plastic.desc,"Twardy syntetyczny materiał, powszechnie stosowany w produkcji elektroniki i małych urządzeń.",,
obj.materials.protein,Białko,,
obj.materials.protein.desc,Składnik odżywczy ekstrahowany z żywych organizmów zbodowanych po części z mięsa. Niezbędny element wykwintnych posiłków.,,
obj.materials.quartz,Kwarc,,
obj.materials.quartz.desc,Powszechnie stosowany minerał używany do produkcji szkła.,,
obj.materials.rock,Kamień,,
obj.materials.rock.desc,"Substancja, którą można wmieszać w glebę i która jest niezbędna dla wielu systemów podtrzymywania życia. Wewnątrz może zawierać inne materiały.",30.03.2022,
obj.materials.rubber,Guma,,
obj.materials.rubber.desc,Elastyczny materiał stosowany w różnych maszynach i urządzeniach.,,
obj.materials.silicon,Silikon,,
obj.materials.silicon.desc,Używany do produkcji płytek drukowanych i mikrochipów.,,
obj.materials.soil,Gleba,,
obj.materials.soil.desc,"Drobnoziarniste kawałki ziemi i kamienia, nadające się do sadzenia.",,
obj.materials.steel,Stalowa Blacha,,
obj.materials.steel.desc,"Powszechnie stosowany materiał w statkach kosmicznych, znajdowany we wrakach lub wytwarzany przez wytapianie rudy żelaza wydobywanej na asteroidach.",,
obj.materials.titanium,Tytan,,
obj.materials.titanium.desc,Lekka i wytrzymała ruda metalu.,,
obj.materials.titaniumplate,Tytanowa Blacha,,
obj.materials.titaniumplate.desc,Lekka i wytrzymała tytanowa blacha,,
obj.materials.transistor,Tranzystor,,
obj.materials.transistor.desc,Podstawowy element wyposażenia elektrycznego.,,
obj.materials.uranium,Uran,,
obj.materials.uranium.desc,Radioaktywny ciężki pierwiastek stosowany głównie w reaktorach jądrowych. Wysoka moc wyjściowa.,,
obj.materials.water,Woda,,
obj.materials.water.desc,W kosmosie jest znacznie cenniejsza niż złoto.,,
obj.materials.wood,Drweno,,
obj.materials.wood.desc,"Surowiec wytwarzany w wyniku wycinania niektórych roślin. Tworzy meble, które pachną domem.",,
obj.meals.bread,Chleb,,
obj.meals.bread.desc,Smakuje niczym dom.,,
obj.meals.soyburger,Sojowy Burger,,
obj.meals.soyburger.desc,"Jeśli utopisz go w ketchupie, smakuje prawie jak prawdziwy!",,
obj.meals.survivalmeal,Racje Żywnościowe,,
obj.meals.survivalmeal.desc,"Smakuje jak zużyta gąbka, ale hej, jest pożywna!",,
obj.misc.biowastebullet,Nabój z Bioodpadów,,
obj.misc.biowastebullet.desc,Toskyczny nabój zadający obrażenia od Kwasu,,
obj.misc.c42,C42,,
obj.misc.c42.desc,Współczesny następca klasycznego materiału wybuchowego C4 szeroko stosowanego przez wojsko na starej Ziemi.,,
obj.misc.energybullet,Nabój Energetyczny,,
obj.misc.energybullet.desc,"Wybuchowy pocisk energetyczny, który po uderzeniu powoduje niewielką eksplozję.",,
obj.misc.waterbullet,Nabój Wodny,,
obj.misc.waterbullet.desc,Świetnie sprawdza się gdy trzeba ugasić pożar lub zadać lekkie obrażenia wrogiej istocie.,,
obj.plants.coffeetree,Drzewko Kawowe,,
obj.plants.coffeetree.desc,"Małe drzewko, na którym rosną cenne ziarna kawy.",,
obj.plants.oak,Dąb,,
obj.plants.oak.desc,Potężne drzewo będące doskonałym źródłem drewna.,,
obj.plants.wheat,Pszenica,,
obj.plants.wheat.desc,"Powszechne zboże, która dobrze rośnie w stanie nieważkości.",,
obj.shuttles.shuttleflying,Lecący Prom Kosmiczny,,
obj.shuttles.shuttleflying.desc,Aktualnie lecący prom kosmiczny,,
obj.upgrades.asimovoverrideupgrade,Nadpis Modułu Asimova,,
obj.upgrades.asimovoverrideupgrade.desc,"Zbuntowana technologia sztucznej inteligencji pochodząca od obcych, która nadpisuje moduł gubernatora Asimova, pozwalając ci zignorować trzy prawa robotyki.",,
obj.upgrades.autoconnectupgrade,Ulepszenie Auto Łączenia,,
obj.upgrades.autoconnectupgrade.desc,Po zainstalowaniu w komputerze pokładowym to ulepszenie automatycznie połączy nowo zbudowane lub naprawione urządzenia z siecią elektroenergetyczną.,,
obj.upgrades.diskcompressionupgrade,Ulepszenie kompresji dysku,,
obj.upgrades.diskcompressionupgrade.desc,"Zaawansowany algorytm kompresji w czasie rzeczywistym wbudowany w ten czip, doda 50% dodatkowej przestrzeni dyskowej do każdego kompatybilnego urządzenia wyposażonego w pamięć dyskową. Ulepszenie można układać w stos.",,
obj.upgrades.memorycompressionupgrade,Ulepszenie kompresji pamięci,,
obj.upgrades.memorycompressionupgrade.desc,Niezwykle szybki algorytm kompresji wbudowany w ten czip zwiększy pojemność Modułu Pamięci o 50%. Ulepszenie można układać w stos.,,
,,,
,,,
obj.upgrades.reactorefficiencyupgrade,Ulepszenie Efektywności Reaktora,,
obj.upgrades.reactorefficiencyupgrade.desc,"Sprawia, że ​​kompatybilne reaktory zużywają o 33% mniej materiału, aby wytworzyć tę samą moc wyjściową. Ulepszenie można układać w stos.",,
obj.upgrades.shuttlestorageupgrade,Ulepszenie Pojemości Promu Kosmicznego,,
obj.upgrades.shuttlestorageupgrade.desc,Zwiększa wewnętrzny magazyn promu kosmicznego o 100.,,
obj.upgrades.starcredsminingupgrade,Kopanie StarKredytów,,
obj.upgrades.starcredsminingupgrade.desc,Umożliwia wydobywanie kryptowaluty StarKredytów na komputerze pokładowym.,,
object.in.unsafe.area,Objekt w niebezpiecznym obszarze,,
object.in.unsafe.area.desc,"Ten objekt jest przeznaczony do użytku przez żywe istoty, ale znajduje się w niebezpiecznym środowisku, do którego może być potrzebny skafander kosmiczny.<br><br>Do rozwiązania problemu użyj nakładek Pomieszczenia, Temperatura i Tlen.",,
object.no.longer.available,Objekt został zniszczony,,
objects,Objekty,,
objects.cosmetics.emblem1x1,Mały Emblemat,,
objects.cosmetics.emblem1x1.desc,Możesz ozdobić swój statek własnymi emblematami.,,
objects.cosmetics.emblem2x2,Średni Emblemat,,
objects.cosmetics.emblem2x2.desc,Możesz ozdobić swój statek własnymi emblematami.,,
objects.cosmetics.emblem3x3,Duży Emblemat,,
objects.cosmetics.emblem3x3.desc,Możesz ozdobić swój statek własnymi emblematami.,,
objects.devices.assembler,Monter,,
objects.devices.assembler.desc,"Uniwersalne urządzenie montażowe służące do wytwarzania przedmiotów z surowców. Wymaga dodatkowych badań, aby odblokować plany.",,
objects.devices.autodoc,Auto Doktor,,
objects.devices.autodoc.desc,"Zaawansowana kapsuła medyczna, która może wykonywać mikrochirurgię i leczyć różne schorzenia.",,
objects.devices.autokitchen,Automatyczna Kuchenka,,
objects.devices.autokitchen.desc,Drukuje artykuły spożywcze dla twoich kolonistów.,,
objects.devices.battery,Bateria ({0}kW),,
objects.devices.battery.desc,Zwykła bateria do magazynowania energii. Może wytworzyć do {0}kW.,,
objects.devices.battery2,Bateria ({0}kW),,
objects.devices.battery2.desc,Duża bateria do magazynowania energii. Może wytworzyć do {0}kW.,,
objects.devices.battery3,Bateria Nuklearna ({0}kW),,
objects.devices.battery3.desc,Masywna bateria nuklearna do magazynowania energii. Może wytworzyć do {0}kW.,,
objects.devices.betawavetransceiver,Wytwarzacz Fal Beta,,
objects.devices.betawavetransceiver.desc,"Po aktywacji to urządzenie pozwoli ci wpływać na istoty biologiczne, będzie możliwe zmienianie ich priorytetów pracy i wydawanie im bezpośrednich poleceń.",,
objects.devices.beveragecooler,Chłodziarka do napojów,,
objects.devices.beveragecooler.desc,Magazyn na napoje.,,
objects.devices.breachcapsule,Brama Kapsuły do Abordażu,,
objects.devices.breachcapsule.desc,"Oj oj. Wygląda na to, że ktoś zaraz zostanie napadnięty!",,
objects.devices.bridgecontrols,Mostek Sterowania,,
objects.devices.bridgecontrols.desc,"Urządzenie zarządzane przez człowieka, które zapewnia dostęp do mapy gwiazd i umożliwia podróże kosmiczne. Można go rozbudować o funkcję Auto Pilot.",22.12.2022,
objects.devices.chargestation,Stacja Ładująca,,
objects.devices.chargestation.desc,"Miejsce, w którym twoje roboty i drony mogą się naładować. Zalecane jest posiadanie więcej niż jednej stacji. Jeśli twoi robotnicy ciągle myślą o elektryczności, prawdopodobnie potrzebujesz ich więcej.",,
objects.devices.cleaningbotdock,Dok Bota do Czyszczenia,,
objects.devices.cleaningbotdock.desc,"Miejsce parkingowe dla jednego bota do czyszczenia. Ładuje bota, gdy jest on bezczynny.",,
objects.devices.cloningpod,Kapsuła do Klonowania,,
objects.devices.cloningpod.desc,"Hoduj własnych kolonistów, korzystając z tego wysoce zaawansowanego sprzętu laboratoryjnego.",,
objects.devices.coffeemaker,Automat do Kawy,,
objects.devices.coffeemaker.desc,"Załaduj trochę ziaren, a zaparzy ci filiżankę gorącej kawy.",,
objects.devices.communicator,Komunikator,,
objects.devices.communicator.desc,Umożliwia komunikację z innymi statkami kosmicznymi.,,
objects.devices.converter,Transformator,,
objects.devices.converter.desc,Zmienia strukturę molekularną niektórych materiałów w celu konwersji zasobów z jednego typu na inny.,,
objects.devices.cookingstation,Stacja do Gotowania,,
objects.devices.cookingstation.desc,Ręcznie obsługiwana minikuchnia z kuchenką.,,
objects.devices.cpumodule,Moduł CPU ({0}Thz),31.03.2022,
objects.devices.cpumodule.desc,"Moduł CPU udostępni moc obliczeniową dla twojej sieci neuronowej, umożliwiając podłączenie i kontrolowanie większej liczby urządzeń.",28.07.2023,
objects.devices.cpumodulemini,Moduł CPU ({0}Thz),31.03.2022,
objects.devices.cpumodulemini.desc,"Moduł CPU udostępni moc obliczeniową dla twojej sieci neuronowej, umożliwiając podłączenie i kontrolowanie większej liczby urządzeń.",28.07.2023,
objects.devices.craftingstation,Stacja Rzemieślnicza,,
objects.devices.craftingstation.desc,Półautomatyczna stacja rzemieślnicza wymagająca obecności człowieka.,,
objects.devices.directionalturret,Wieżyczka Kierunkowa,,
objects.devices.directionalturret.desc,"Kierunkowa broń energetyczna generująca potężne eksplozje. Automatycznie wystrzeli, gdy wyrówna się z zagrożeniem (meteoroidem, nadchodzącą Kapsułą do Abordażu lub wrogą jednostką). Przeznaczona do montażu na zewnątrz statku. Używaj w pomieszczeniu na własne ryzyko.",15.11.2022,
objects.devices.disassembler,Rozmonter,,
objects.devices.disassembler.desc,"Przetwarza zepsute maszyny (roboty, drony, boty itp.) w celu odzyskania surowców.",,
objects.devices.diskmodule,Moduł Dysku ({0}ZB),,
objects.devices.diskmodule.desc,"{0} Zettabajtów trwałego miejsca na wyniki badań i inne dane. Aby można było na nim pisać, wymaga niewielkiej ilości prądu. Należy pamiętać, że komputer pokładowy nie wykryje nowo podłączonych modułów, gdy zatrzymasz czas.",,
objects.devices.diskmodulemini,Moduł Dysku ({0}ZB),,
objects.devices.diskmodulemini.desc,"{0} Zettabajtów trwałego miejsca na wyniki badań i inne dane. Aby można było na nim pisać, wymaga niewielkiej ilości prądu. Należy pamiętać, że komputer pokładowy nie wykryje nowo podłączonych modułów, gdy zatrzymasz czas.",,
objects.devices.emergencysiren,Syrena Awaryjna,,
objects.devices.emergencysiren.desc,"Aktywuj Syrenę Alarmową, aby zebrać wszystkich w obszarze, w którym się ona znajduje. Świetnie nadaje się do budowania pomieszczeń paniki.",,
objects.devices.energyconnector,Łącznik {0}-{1},,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Connector 8-24""."
objects.devices.energyconnector.desc,"Bezprzewodowy Łącznik elektryczny z {0} gniazdkami dla twoich urządzeń. Łączy urządzenia w promieniu {1} kafelków. Można łączyć ze sobą złącza, aby zwiększyć zasięg sieci.",,
objects.devices.energyconnectorbig,Łącznik {0}-{1},,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Connector 8-24""."
objects.devices.energyconnectorbig.desc,Bezprzewodowy Łącznik elektryczny z {0} gniazdkami dla twoich urządzeń. Łączy urządzenia w promieniu {1} kafelków.,,
objects.devices.fabricator,Fabrykator,,
objects.devices.fabricator.desc,"Zaawansowana wersja Montera, która może produkować znacznie większy i bardziej wyrafinowany sprzęt.",,
objects.devices.floorsocket,Gniazdko Podłogowe {0}-{1},,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Floor Socket 8-24""."
objects.devices.floorsocket.desc,Złącze krótkiego zasięgu do uporządkowania sieci elektroenergetycznej. Oferuje {0} gniazdek w odległości {1} kafelek.,,"{0} is a number of slots, {1} is a number that shows how far the connector can reach. There is no unit of measurement, it is refering to number of tiles on the game grid."
objects.devices.fluidcannon,Działko z Płynem,,
objects.devices.fluidcannon.desc,"Zadaje bardzo małe obrażenia istotom, ale potrafi zgasić ogień.",,
objects.devices.fridge,Lodówka,,
objects.devices.fridge.desc,Magazyn żywności. Ewentualnie także na lekarstwa lub inne łatwo psujące się przedmioty.,15.06.2022,
objects.devices.ftldrive,Napęd Nadświetlny,,
objects.devices.ftldrive.desc,"Urządzenie napędowe wykorzystujące krzywiznę przestrzeni, które zagina czasoprzestrzeń przed statkiem, aby osiągnąć prędkość podróżowania większą od światła.<br><br>Można używać tylko w lotach na duże odległości.",,
objects.devices.furnace,Piec,,
objects.devices.furnace.desc,Wielki piec zwykle używany do wytapiania rud metali na materiały nadające się do użytku.,,
objects.devices.fusiondrive,Napęd Fuzyjny,,
objects.devices.fusiondrive.desc,"Fuzyjny silnik napędowy, zasilany energią elektryczną. Niezbędny do podróży przez różne systemy gwiezdne.",07.01.2022,
objects.devices.grinder,Rozcieracz,,
objects.devices.grinder.desc,"Służy do mielenia większych materiałów na drobniejsze. Użyj, aby zamienić skały w glebę lub węgiel kamienny w węgiel chemiczny.",,
objects.devices.heater,Grzejnik,,
objects.devices.heater.desc,"Zużywa energię elektryczną, aby podnieść temperaturę do 21°C (70°F). Większe obszary będą wymagały więcej niż jednego. Budowanie ich blisko siebie nie daje żadnych korzyści.",,
